Position,Company,Location
Senior Data Analyst,startup oi,"Ho Chi Minh City, Vietnam"
Data Analyst/Business Intelligence/Data Scientist,KALAPA,"Quận Nam Từ Liêm, Hanoi, Vietnam"
Data Analyst,C2C Tech Hub,"Ho Chi Minh City, Vietnam"
Chief Data Officer - Transforming Local Bank,Michael Page,"Hanoi, Hanoi, Vietnam"
Reconciliation Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Commercial Finance Analyst,Gene Solutions,Ho Chi Minh City Metropolitan Area
Credit Risk Data Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,VCCORP,"Thanh Xuân Bắc, Hanoi, Vietnam"
Data Analytics Manager,Geniebook,"Ho Chi Minh City, Vietnam"
Data Scientist (Python) (Salary 1500-3000),LARION,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analysis Intern (Remote Internship - Analyst),Brainnest,"Hanoi, Hanoi, Vietnam"
Quantitative Researcher,Athena Studio,"Ho Chi Minh City, Vietnam"
Data Engineer (Python),Hyperion360,Vietnam
Data Scientist,KNOREX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Infina,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Data - Loyalty Platform Startup,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Geniebook,"Ho Chi Minh City, Vietnam"
Remote Data Analyst Jobs,Turing.com,Vietnam
Senior Business Intelligence Analyst,VNG Corporation,"Ho Chi Minh City, Vietnam"
Data Analytics & MIS Senior Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Analytics & MIS Lead,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Intern/Junior Business Analyst (Remote Business Analysis Internship),Brainnest,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Risk Model Analyst,VietCredit Finance Company,"Ho Chi Minh City, Vietnam"
Analytics Engineering Manager,Joy Network,"Ho Chi Minh City, Vietnam"
Analytics Engineering Manager,Joy Network,"Ho Chi Minh City, Vietnam"
Business & Data Analyst Exec,Allianz Malaysia,"My Tho, Vietnam"
Data Scientist,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst - Abbott Rapid Diagnostics,Abbott,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Fund Transfer Staff,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst - Ho Chi Minh,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst [Remote],Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Data Scientist, Visa Consulting & Analytics, Vietnam",Visa,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
ZaloPay - Senior Business Intelligence - Funding Channel,VNG Corporation,"Ho Chi Minh City, Vietnam"
IT Business Analyst (All levels),7LAB at 7-Eleven Việt Nam,"Ho Chi Minh City, Vietnam"
Data Analyst Specialist,Gameloft,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Machine Learning Intern,JITS INNOVATION LABS COMPANY,"Hanoi, Hanoi, Vietnam"
HCMC - BI Data Analyst,Amaris Consulting,Ho Chi Minh City Metropolitan Area
Data Scientist,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist,Vinpearl,"Hanoi, Hanoi, Vietnam"
Product Owner - BI Analytics - Remote,Inspectorio,Vietnam
Fraud Detection Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE",Cobblestone Energy,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Lead Data Scientist,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,Funding Societies | Modalku Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
C&B Lead (Data Analysis/Reporting),VNG Corporation,"Ho Chi Minh City, Vietnam"
Credit Modelling Development,Movi Vietnam,"Ho Chi Minh City, Vietnam"
Machine Learning Engineer l Remote,Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Evizi,"Đà Nang, Da Nang City, Vietnam"
Data Analyst,Puzzle Studio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Olmo Technology,"Ho Chi Minh City, Vietnam"
Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Finan,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,MFast,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Product Data Manager,VNPAY,"Hanoi, Hanoi, Vietnam"
Business Intelligence Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Intelligence Developer,Công ty TNHH Viaconto,"Ho Chi Minh City, Vietnam"
Data Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
PVA | Data Analytics & Insights Senior Specialist,Prudential Vietnam Assurance Private Ltd.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Linehaul Data Analyst - Shopee Xpress,Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Compliance Business Control Analyst,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Cloud Ace,"Hanoi, Hanoi, Vietnam"
Data Analyst,SGS,"Quận 3, Ho Chi Minh City, Vietnam"
Data Analyst - Up to $3200,HCLTech Vietnam,"Ho Chi Minh City, Vietnam"
Business Data Analyst,Ru9,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Data and Insights Manager, Asia [Hybrid/Remote]",Enveritas,Vietnam
IT Project Management Assistant,BSS Commerce,Hanoi Capital Region
"Senior Data & Reporting Analyst - Operations, Shopee Xpress Vietnam",Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst - Ho Chi Minh,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist (Chuyên Viên Cấp Cao Khoa Học Dữ Liệu),Prudential Vietnam Assurance Private Ltd.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst,Zenyum,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Opex Data Analyst,Ninja Van,Vietnam
Analyst Development Program Analyst,Liberty Insurance Pte Ltd.,"Long Xuyên, Vietnam"
Machine Learning Engineer Intern,Kyanon Digital,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Intern/Junior Business Analyst (Remote Business Analysis Internship),Brainnest,"Hanoi, Hanoi, Vietnam"
Data Engineer,"Acacy Co., Ltd.","Bình Thạnh, Ho Chi Minh City, Vietnam"
Data Engineer - Pepper Team,Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer (Asia Pacific),JAC Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Commercial Data Specialist,Zuellig Pharma Vietnam,"Ho Chi Minh City, Vietnam"
Data Analyst - Business intelligence -Global Hedge Fund,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior/ Lead Machine Learning Engineer,MoMo (M_Service),"Ho Chi Minh City, Vietnam"
Data Scientist (Customer Acquisition),Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Analytics Engineer,Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Marketing Data Analyst,Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Performance Management & Analytics Senior Specialist,Prudential Vietnam Assurance Private Ltd.,"Ho Chi Minh City, Vietnam"
Business Intelligence Analyst,Manabie,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analytics Manager - Canada product company,ADI CONSULTING COMPANY LIMITED,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Executive, Business Intelligence (Data Engineering)",DKSH,"Ho Chi Minh City, Vietnam"
Lead Data Scientist,Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Python Data Engineer,GeoComply,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"JUNIOR ANALYST - Dubai, UAE",Cobblestone Energy,"Thanh Thuy, Vietnam"
Data Engineer (Remote Possible),Glints,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
HCMC - BI Data Analyst,Amaris Consulting,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Opex Data Analyst,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Marketing Data Analyst,Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Intelligence Controller,Finan,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,MoMo (M_Service),"Ho Chi Minh City, Vietnam"
Credit Analyst,BNP Paribas,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Research Analyst,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Full-time Business Developer,ztudium- maker of industry 4IR tech AI Blockchain blocksdna & data driven research intelligenthq,Vietnam
Talented IT Graduates/Freshers,Netcompany,"Ho Chi Minh City, Vietnam"
Senior Consultant,CEL,Ho Chi Minh City Metropolitan Area
Senior Data Analyst (Digital Banking - Fintech),Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
BI Developer,Career Zoom Pte. Ltd.,Vietnam
FUND TRANSFER STAFF,Citi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Kasatria Technologies Vietnam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Consultant | Data & Analytics | HCMC & Hanoi Office,EY,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst Team Leader,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,Prudential Vietnam Assurance Private Ltd.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst (Based in HCMC),Amanotes,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist (Customer Acquisition),Trusting Social Career Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DATA ANALYST SPECIALIST,Ghn Express,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Senior Associate/Manager, Data Management",Lazada,"Ho Chi Minh City, Vietnam"
"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE",Cobblestone Energy,"Can Tho, Can Tho, Vietnam"
Data Analytics Manager,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Python Data Engineer,GeoGuard,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Sr Data Scientist,Công ty Cổ Phần Galaxy Play,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst,Techcombank (TCB),Hanoi Capital Region
Data Scientist (Computer Vision),Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
OPEX DATA ANALYST,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst,Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Data Governance,MB AGEAS LIFE,"Hanoi, Hanoi, Vietnam"
Investment Analyst / Manager,Navis Capital Partners,"Ho Chi Minh City, Vietnam"
"JUNIOR QUANTITATIVE ANALYST - Dubai, UAE",Cobblestone Energy,"Hanoi, Hanoi, Vietnam"
Data Analyst,Ninja Van,"Hanoi, Hanoi, Vietnam"
Credit Risk Senior Analyst,F88,"Ho Chi Minh City, Vietnam"
Data Engineer,POC Pharma,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
BI Data Engineer,RFOX,"Hanoi, Hanoi, Vietnam"
Trainee Associate - Financial Audit,PwC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer Leader,Cốc Cốc,"Hanoi, Hanoi, Vietnam"
Senior IT Business Analyst,IZIon24,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,Infina,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Scientist Engineer,PERSOLKELLY Vietnam,"Hanoi, Hanoi, Vietnam"
Application Engineer,Tech Mahindra,"Ho Chi Minh City, Vietnam"
"Senior Data Analyst - Delivery Operations, ShopeeFood",Shopee,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Stage - Data Analyst F/H,Bouygues Telecom Entreprises,"Nghĩa Lộ, Yen Bai, Vietnam"
Data Engineer,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
SENIOR PYTHON DATA ENGINEER,STDIO ASIA,"Huế, Thua Thien Hue, Vietnam"
Data Engineer,KNOREX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,FPT Information System,"Hanoi, Hanoi, Vietnam"
Country Manager - Vietnam - Data Centres,Macdonald & Company,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Industrial Engineer,lululemon,"Ho Chi Minh City, Vietnam"
Data Architect,Techcombank (TCB),Hanoi Capital Region
Games Database Admin & Analyst,RFOX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
DATA ANALYST,Công Ty Tnhh Senspark,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,PERSOLKELLY Vietnam,"Hanoi, Hanoi, Vietnam"
Head of Game Data Studio,VNG Corporation,"Ho Chi Minh City, Vietnam"
Data Scientist (Computer Vision),Trusting Social Career Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
BUSINESS ANALYST,DIGI-TEXX,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Privacy Officer,Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,OKXE Inc.,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst Leader,Ninja Van,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Intern/Junior Market Research Analyst (Remote Researcher Internship),Brainnest,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Shopee Xpress - Fraud Executive,Shopee,"Ho Chi Minh City, Vietnam"
Python Software Engineer,Y.digital,"Da Nang City, Vietnam"
"Software Engineer - Python, SIGHT Team",Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Management Accountant,FiCO Corporation JSC,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Python Developer - (Fully Remote),Flex by Finaxar,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,SoftwareONE,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Research Analyst,C-Spaceship,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Puzzle Studio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Market Research Analyst,UNIVERSITY OF SOCIAL SCIENCES AND HUMANITIES (USSH),"Ho Chi Minh City, Vietnam"
Data Engineer (Automotive industry),Robert Walters,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Analytic and Data Product Strategy Manager,Vingroup JSC,"Hanoi, Hanoi, Vietnam"
Data Engineer (Azure),CodeHQ,"Ho Chi Minh City, Vietnam"
Data Analyst - Hà Nội,Ninja Van,"Hanoi, Hanoi, Vietnam"
Master Data Controller,Medical Diag Center,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Research Trainee,Worldpanel by Kantar,"Ho Chi Minh City, Vietnam"
Senior Data Analyst,Công Ty Tnhh Anfin,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Strategic Insights and Business Intelligence Supervisor,JTI (Japan Tobacco International),"Ho Chi Minh City, Vietnam"
Strategic Insights and Business Intelligence Supervisor,JTI (Japan Tobacco International),"Ho Chi Minh City, Vietnam"
Data Engineer I/II,Rackspace Technology,Vietnam
Sales Data Management Executive,Sanofi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Senior Data Analyst,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst / Data Scientist,ABIVIN,"Hanoi, Hanoi, Vietnam"
"(Senior/Lead) Data Analyst, MBI",MoMo (M_Service),"Ho Chi Minh City, Vietnam"
Senior Business Analyst (Corporate Digital Lending),Techcombank (TCB),Hanoi Capital Region
Risk Management Intern,BAEMIN Vietnam (Woowa Bros.),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Analyst,Advesa Digital Solutions,"Hanoi, Hanoi, Vietnam"
Project Cost Controller,HEINEKEN Vietnam,"Ho Chi Minh City, Vietnam"
Business Analyst,Techcombank (TCB),"Hanoi, Hanoi, Vietnam"
"Data Analyst, Strategic Partnerships( Bangkok based)",Agoda,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Fresher/Junior C++ Developer,Hitachi Vantara,"Ho Chi Minh City, Vietnam"
"Lead, Strategy and Planning (Market Research experiences required)",Grab,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"R-13582 Manager, Data Services Delivery",Rackspace Technology,Vietnam
Mid/Senior Data Scientist,BAEMIN Vietnam (Woowa Bros.),"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Junior Business Analyst - Chuyên Viên Phân Tích Nghiệp Vụ,"VOLTRANS LOGISTICS CO.,LTD","Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst (Lean Team ),Fashion Garments - Vietnam,"Tân Phú, Dong Nai, Vietnam"
Fresher Developer,Hitachi Vantara,"Ho Chi Minh City, Vietnam"
Database Engineer,Fetch Technology,Da Nang Metropolitan Area
Data Scientist - a Global Biotech company,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Head of Data Science - Global FMCG brand,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Software Engineer - Python, Vision Team",Inspectorio,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,AdStart Media,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Quantitative Researcher (Master/Postdoc),Aloha Consulting Group,Ho Chi Minh City Metropolitan Area
[HN/HCM] Data Scientist (Middle/Senior) (Blockchain/Crypto/DeFi),KyberNetwork,"Hanoi, Hanoi, Vietnam"
Analytics Engineering Manager,Katalon,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Team Leader, Seller & 3PL Performance",TIKI,"Ho Chi Minh City, Vietnam"
"Data Processing Specialist, Reference Data",NielsenIQ,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,AdStart Media,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"Startup Founder | Data Scientist, Blockchain, AI/ML Expert",Antler,"Ho Chi Minh City, Vietnam"
Senior AI Engineer,Wow AI,Vietnam
"Data Engineer (ETL, analytics), KMS Solutions",KMS Solutions,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Finance Intern (Controlling),MM Mega Market Vietnam,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Full-time INTERN for Learning & Development Team _ Hanoi Office,EY,"Quân Phuong Ha Trai, Vietnam"
"Manager, Visa Consulting & Analytics, Vietnam",Visa,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Architect,Techcombank (TCB),"Ho Chi Minh City, Vietnam"
Business Continuity Analyst,Allianz Malaysia,"My Tho, Vietnam"
"Business Intelligence, Lead (Partnership Distribution Function)",AIA Vietnam,"Ho Chi Minh City, Vietnam"
Backend Engineer (Data),Sky Mavis,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Fresher - Data Engineer,"Gimasys Co., Ltd","Hanoi, Hanoi, Vietnam"
Remote BACKEND (PYTHON+SQL) Developer at Clue (getclue.com),Clue Insights,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Junior Data Analytics,Apero Technologies Group,"Hanoi, Hanoi, Vietnam"
DATA ANALYTICS,Apero Technologies Group,"Hanoi, Hanoi, Vietnam"
"Senior Executive, IT Internal Audit",Hong Leong Bank Vietnam,"Ho Chi Minh City, Vietnam"
Data Engineer Supervisor,Home Credit Vietnam,"Ho Chi Minh City, Vietnam"
Senior Data Scientist - Fraud/Risk,Trusting Social,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
"[HCM] Software Engineer (New Graduates, Last Year Students)",Got It AI,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst,Hitachi Vantara,Ho Chi Minh City Metropolitan Area
Database Administrator (L1),Accenture,"Ho Chi Minh City, Vietnam"
Database Administrator (L1),Accenture,"Ho Chi Minh City, Vietnam"
Business Analyst (Vehicle),Chợ Tốt,"Ho Chi Minh City, Vietnam"
OPERATIONS MANAGER (IT FIELD),AHT Tech Jsc,Hanoi Capital Region
Sales Analytics & Support,Sanofi,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Python Software Engineer,Aloha Consulting Group,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Data Engineer,Fetch Technology,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst,Hitachi Vantara,Ho Chi Minh City Metropolitan Area
Director of Ecommerce,Talentnet Corporation,"Ho Chi Minh City, Vietnam"
Regional Data Analytic Visualization Platform manager,Michael Page,"Ho Chi Minh City, Ho Chi Minh City, Vietnam"
Business Analyst,Hitachi Vantara,Ho Chi Minh City Metropolitan Area
